id,description,hierarchy_levels,type
KS120P86XDXZJT3B7KVJ,(American Society For Quality) ASQ Certified,,skill
KS126XS6CQCFGC3NG79X,.NET Assemblies,"[['17.0', '17.0.442.0']]",skill
ES50D03AC9CFC1A0BC93,.NET Development,"[['17.0', '17.0.474.0']]",skill
KS1200B62W5ZF38RJ7TD,.NET Framework,"[['17.0', '17.0.442.0']]",skill
KS126XW78QJCF4TRV2X7,.NET Framework 1,"[['17.0', '17.0.442.0']]",skill
KS126XY68BNKXSBSLPYS,.NET Framework 3,"[['17.0', '17.0.442.0']]",skill
KS126XR63RKYVCKYDNBN,.NET Framework 4,"[['17.0', '17.0.442.0']]",skill
ES1A2175859F80D25163,.NET MAUI (Multi-Platform App UI),"[['17.0', '17.0.442.0']]",skill
KS126Y166NXP5X1SLV6V,.NET Reflector,,skill
KS126Y16DLZ0N5THPLDM,.NET Remoting,"[['17.0', '17.0.369.0']]",skill
BGSA5DBAB2CA5E93368B,.htaccess Files,,skill
KSLGDAXJ4EFDMIOPMGL2,.nettiers,,skill
KS1200M68TBM4SXLZV0G,10 Gigabit Ethernet,,skill
ESCADB851468B8293B48,10-Hour MIOSHA Safety Certification,,skill
ES67DFA2E1A6147D3C6D,10-Hour OSHA Construction Card,,skill
ES1A2BE4BB97545058AD,10-Hour OSHA General Industry Card,,skill
ES769C0970B9C7902C9D,100-Ton Master Captain's License,,skill
KSJCP2DYKDSINHFDMF51,1010data,,skill
KS1200L6T0NXQPW7Z8YR,10BASE-F (Physical Layer Protocols),,skill
KS1200K743J4NT3LXJ3B,10BASE2,,skill
KS1200L6N1G9SQSN2K4C,10BASE5,,skill
BGS17D5F207B94197B41,12 Volt Electricity,"[['20.0', '20.0.513.0']]",skill
KSG3JYO4PNRLSK692Z3J,128bit,,skill
KSFX0RS58RA2JDB0PO5E,12factor,,skill
ESF4BA869D66098F2ED0,1Password,"[['17.0', '17.0.426.0']]",skill
ES28DF79DFF7EF9EACDE,200-Ton Master Captain's License,,skill
KS1200Y5ZNNT2B1M81RN,2020 Design Software,"[['4.0', '4.0.143.0']]",skill
ES6864C564270AACA4CB,25-Ton Master Captain's License,,skill
KS1200Y714QV48TFJ75H,2D Animation,"[['7.0', '7.0.170.0']]",skill
KS1200Y77WTLF0Y9J7TM,2D Computer Graphics,"[['7.0', '7.0.173.0']]",skill
ES30F1316344594A4359,2D Computer-Aided Drafting And Design,"[['11.0', '11.0.219.0']]",skill
KS1200Z77T1YZ4DJZ7M9,2D Gel Analysis Software,,skill
ES490FB5A97C181C8CA0,30-Hour MIOSHA Safety Certification,,skill
ES7AE78C7222D7FAB9C1,30-Hour OSHA Construction Card,,skill
ES17426C347D7CB45DE3,30-Hour OSHA General Industry Card,,skill
KS120196S0WRN2WBY8ZR,35 Mm Films,"[['23.0', '23.0.565.0']]",skill
BGS146A23071499E566E,360-Degree Feedback,"[['5.0', '5.0.159.0']]",skill
KS126YN74S42KYQZCPH6,389 Directory Server (Fedora Project),,skill
ESF779A5C0C5C3D9EF42,3A Pesticide Applicator License,,skill
ESCB9BDF09B45480E584,3B Pesticide Applicator License,,skill
KS1201C66L7TG167P9ZN,3COM Certified IP Telephony NBX Expert,,skill
KS1201D70SNS03FL6WB1,3COM Certified IP Telephony VCX Expert,,skill
KS1201F63V91RBJT9L04,3CX Phone Systems,,skill
ES7FDFD39CA61932DD5E,3Com Certified Wireless Specialist,,skill
ESA0CCF8B28EE01393A7,3D Animation,"[['7.0', '7.0.170.0']]",skill
KS1201F732CFS5JFTNQH,3D Art,"[['7.0', '7.0.171.0']]",skill
KS1201G6D3S7LH8MTN6N,3D Camcorder,,skill
KS120146S76B3ZKN68X3,3D Computer Graphics,"[['7.0', '7.0.173.0']]",skill
KS1201J6B7ZYCJ92N7Z7,3D Computer Graphics Software,"[['7.0', '7.0.175.0']]",skill
ES8A356166684EF3A883,3D Conformal Radiotherapy (3DCRT),"[['14.0', '14.0.335.0']]",skill
KS1201H6XMJ7HKG59RQ1,3D Graphic Design,"[['7.0', '7.0.174.0']]",skill
KS1201477MH4F3DJK1RC,3D Modeling,"[['11.0', '11.0.219.0']]",skill
KS126NG5VQMYFP0Z7024,3D Modeling Software,"[['11.0', '11.0.219.0']]",skill
KS1201K61KYYQZYYSCBC,3D Projection,,skill
KS1201K6P46HG0XKD41J,3D Reconstruction,"[['17.0', '17.0.372.0']]",skill
KS1201K6QY0SGLMR741J,3D Rendering,"[['7.0', '7.0.173.0']]",skill
KS1201H64Z45S4JD1GMV,3D Scanning,"[['11.0', '11.0.219.0']]",skill
ES4DC1E7D01D31F76ADB,3D Touch,,skill
KS1201L6Z9M6FN2ZMMNM,3D Visualization,"[['7.0', '7.0.173.0']]",skill
KS1201M741SCTN1QLQ0S,3DML,,skill
KS1201J773PFGJJKNTH9,3DMark (Computer Benchmarking),,skill
KS1201L6XXXWY12SW6LT,3DSlicer,,skill
KS1201N5W7VSFRRRSTRK,3Dvia Composer,,skill
ES9771616561B7608AA9,3G Welding Certification,,skill
KS1201Q6YZG5VR15ZJ0G,3GPP (Telecommunication),"[['17.0', '17.0.495.0']]",skill
KS1201Q70VWZPS6KTMFR,3GPP2 (Telecommunication),"[['17.0', '17.0.495.0']]",skill
BGS365426AB90EA7B07A,3M (Software),"[['14.0', '14.0.314.0']]",skill
ESD70589D5AAE4184491,3M Certified,,skill
BGS839AC350FF72002B6,3M Codefinder,"[['14.0', '14.0.314.0']]",skill
BGS2EF4528BDCB3785BA,3M Encoder,"[['14.0', '14.0.320.0']]",skill
KSD334WEJF3MR99D2G21,3d Engine,"[['7.0', '7.0.170.0']]",skill
KSSG3YBA1AOX9ZTC9SNX,3d Secure,"[['13.0', '13.0.274.0']]",skill
BGSDD1886B513586233F,3rd Party Systems Integration,"[['17.0', '17.0.480.0']]",skill
BGSEA27F2E6442AF3F9C,401K Plan Administration,"[['16.0', '16.0.355.0']]",skill
ESB08327A2C1375D3B44,4D Modeling (Construction),"[['11.0', '11.0.219.0']]",skill
KS126WT6C4H1F59H558J,4DOS (Command Line Interpreter),,skill
ES43948E62B6A4A0CFA3,4G Welding Certification,,skill
KS1201T71H5XS0N73DNT,4Sight,,skill
ES7B87A710947DFADEC7,4th Class Power Engineer Certificate,,skill
ES8458362835461810F2,50-Ton Master Captain's License,,skill
ES755634A365420CB7D9,500-Ton Master Captain's License,,skill
BGSBA05C253183F13E03,5150 Evaluations,"[['14.0', '14.0.326.0']]",skill
KS1201V76VVTC7GSM3PP,529 College Savings Planning,"[['13.0', '13.0.270.0']]",skill
KS1201W6RWTRK3BBX5R0,56 Kbit/S Modems,"[['17.0', '17.0.452.0']]",skill
BGSDDAEF74BE44443855,5ESS Switching System,"[['17.0', '17.0.483.0']]",skill
