id,description,hierarchy_levels,type
0005c151-5b5a-4a66-8aac-60e734beb1ab,manage musical staff,"[['S', 'S4', 'S4.5', 'S4.5.0'], ['S', 'S4', 'S4.8', 'S4.8.1'], ['T', 'T4', 'T4.4', None]]",preferredLabel
00064735-8fad-454b-90c7-ed858cc993f2,supervise correctional procedures,"[['S', 'S4', 'S4.2', 'S4.2.1']]",preferredLabel
000709ed-2be5-4193-b056-45a97698d828,apply anti-oppressive practices,"[['S', 'S3', 'S3.3', 'S3.3.0']]",preferredLabel
0007bdc2-dd15-4824-b7d6-416522c46f35,control compliance of railway vehicles regulations,"[['S', 'S3', 'S3.3', 'S3.3.3'], ['S', 'S2', 'S2.8', 'S2.8.1']]",preferredLabel
00090cc1-1f27-439e-a4e0-19a87a501bfc,identify available services,"[['S', 'S3', 'S3.1', 'S3.1.3']]",preferredLabel
000bb1e4-89f0-4b86-be05-05ece3641724,perform toxicological studies,"[['S', 'S2', 'S2.8', 'S2.8.6']]",preferredLabel
000c94d2-2a2e-4545-993c-6df8cb5b0316,ensure coquille uniformity,"[['S', 'S6', 'S6.7', 'S6.7.3']]",preferredLabel
000f1d3d-220f-4789-9c0a-cc742521fb02,Haskell,"[['K', 'K06', 'K061', 'K0613'], ['S', 'S5', 'S5.6', 'S5.6.1']]",preferredLabel
0023e7a5-43da-4b68-bee3-726ef21f986d,apply diplomatic principles,"[['S', 'S1', 'S1.1', 'S1.1.2']]",preferredLabel
00298d97-3dc3-4086-a902-bce0a2fba831,lead police investigations,"[['S', 'S4', 'S4.5', 'S4.5.0'], ['T', 'T4', 'T4.4', None], ['S', 'S2', 'S2.1', 'S2.1.1']]",preferredLabel
002b2e58-35ab-460c-be97-ca2f585fd990,handle fish harvesting waste,"[['S', 'S6', 'S6.13', 'S6.13.2']]",preferredLabel
0037c821-2898-4919-b96e-7ed1cd89554c,develop energy saving concepts,"[['S', 'S4', 'S4.1', 'S4.1.3'], ['T', 'T2', 'T2.4', None]]",preferredLabel
004017c9-0337-4f5a-8077-798de9ef12e3,perform street interventions in social work,"[['S', 'S3', 'S3.1', 'S3.1.2'], ['T', 'T6', 'T6.3', None]]",preferredLabel
004f1e68-9ca2-4f3f-92d9-e7d7ff6b9330,work with soloists,"[['S', 'S1', 'S1.8', 'S1.8.1']]",preferredLabel
00506f28-e884-4496-800c-3477c67eb355,sport and exercise medicine,"[['K', 'K09', 'K091', 'K0912']]",preferredLabel
0058526a-11e9-40a1-ab33-7c5ffdf5da05,conduct research on flora,"[['S', 'S2', 'S2.7', 'S2.7.2']]",preferredLabel
00735755-adc6-4ea0-b034-b8caff339c9f,install heat pump,"[['S', 'S7', 'S7.2', 'S7.2.1']]",preferredLabel
00831ebb-bac3-4bd1-8dae-2bca67be958d,handle equipment while suspended,"[['T', 'T5', 'T5.1', None], ['S', 'S6', 'S6.2', 'S6.2.4']]",preferredLabel
0085e6bd-6829-4e8e-b302-842a7fe57ed9,teach housekeeping skills,"[['T', 'T4', 'T4.2', None], ['S', 'S1', 'S1.3', 'S1.3.5'], ['S', 'S1', 'S1.3', 'S1.3.0']]",preferredLabel
008a0e0d-7380-4b31-abe5-0195e700f8c0,check train engines,"[['S', 'S2', 'S2.8', 'S2.8.1']]",preferredLabel
009673d9-e2fd-46ef-a64b-6027ac7fd613,manufacture ingredients,"[['S', 'S8', 'S8.5', 'S8.5.4']]",preferredLabel
00994812-ac9e-4856-954b-f71bcc6066bb,maintain aquaculture ponds,"[['S', 'S6', 'S6.9', 'S6.9.2']]",preferredLabel
009db49b-fcf5-4409-b4a5-232d059f3597,apply credit risk policy,"[['S', 'S3', 'S3.3', 'S3.3.3']]",preferredLabel
00a4e92d-e410-42b8-ba2d-d7b3febf49e0,handle customer requests related to cargo,"[['S', 'S4', 'S4.2', 'S4.2.1'], ['S', 'S3', 'S3.4', 'S3.4.1'], ['S', 'S6', 'S6.2', 'S6.2.1']]",preferredLabel
00c04e40-35ea-4ed1-824c-82f936c8f876,Incremental development,"[['K', 'K06', 'K061', 'K0613'], ['K', 'K04', 'K041', 'K0413']]",preferredLabel
00c51318-4ea9-4d37-9cd8-74680583d203,use of special equipment for daily activities,"[['K', 'K09', 'K091', 'K0915']]",preferredLabel
00c85cbc-2b24-4605-a6fe-55b5c615e3fe,sawing techniques,"[['K', 'K07', 'K072', 'K0722']]",preferredLabel
00cd1d60-782f-48e7-9a7b-b518f2b146b8,produce guitar components,"[['S', 'S6', 'S6.5', 'S6.5.1']]",preferredLabel
00dd3271-077f-4a12-a958-e297fdd724ce,operate agricultural machinery,"[['S', 'S8', 'S8.1', 'S8.1.2']]",preferredLabel
00e261cc-669c-4b94-8950-d038eceb92d8,control pyrotechnics stock,"[['S', 'S6', 'S6.13', 'S6.13.1'], ['S', 'S6', 'S6.1', 'S6.1.1']]",preferredLabel
00e53a0a-c0ba-4c9f-a2ed-4706d5832a00,guarantee customer satisfaction,"[['S', 'S3', 'S3.4', 'S3.4.4']]",preferredLabel
00e895f4-b9d3-4a1a-8c36-baf10fbfb982,manufacture wearing apparel products,"[['S', 'S6', 'S6.5', 'S6.5.6']]",preferredLabel
00eada7f-0b83-4f0c-af81-d7f92d838000,cure tobacco leaves,"[['S', 'S6', 'S6.5', 'S6.5.8']]",preferredLabel
00ebb379-ce26-439a-ba89-9a7d1ef2f696,develop a rehabilitation programme,"[['S', 'S3', 'S3.2', 'S3.2.4']]",preferredLabel
00ec5333-e570-477b-9017-2e95fea0150a,maintain inventory of cleaning supplies,"[['S', 'S2', 'S2.2', 'S2.2.5']]",preferredLabel
00eefa32-9f77-4500-abe9-20afc7924a9d,cold vulcanisation,"[['K', 'K07', 'K071', 'K0711']]",preferredLabel
00f12ec1-b416-4e3c-8ed7-c4f875c6b681,supervise housekeeping operations,"[['S', 'S4', 'S4.2', 'S4.2.1'], ['T', 'T4', 'T4.4', None], ['S', 'S4', 'S4.5', 'S4.5.0']]",preferredLabel
00f2eee1-cd4d-4a45-ae10-b6060f53ad5d,act as contact person during equipment incident,"[['S', 'S3', 'S3.3', 'S3.3.1']]",preferredLabel
00fc7575-0cee-4b12-ade5-795cb2a4479a,manage time in landscaping,"[['S', 'S4', 'S4.2', 'S4.2.2'], ['T', 'T3', 'T3.1', None]]",preferredLabel
00ff06cc-103f-4c85-b5df-6f75acff6abf,advise customers,"[['T', 'T4', 'T4.2', None], ['S', 'S1', 'S1.5', 'S1.5.3'], ['S', 'S1', 'S1.5', 'S1.5.0']]",preferredLabel
011711eb-f20b-4d64-84d7-17b8979946dc,manage university department,"[['S', 'S4', 'S4.2', 'S4.2.1'], ['T', 'T4', 'T4.4', None], ['S', 'S4', 'S4.5', 'S4.5.0']]",preferredLabel
0121ac3b-775b-4faf-b86d-0078623674bc,develop terminology databases,"[['S', 'S2', 'S2.3', 'S2.3.0'], ['S', 'S5', 'S5.5', 'S5.5.2']]",preferredLabel
01267c89-b27f-4de0-b555-3683c5a5d66e,assess nutritional characteristics of food,"[['S', 'S3', 'S3.5', 'S3.5.1']]",preferredLabel
012795fe-5f85-4d12-a10e-9dabda4ea05f,repair electric bicycles,"[['S', 'S8', 'S8.7', 'S8.7.1'], ['S', 'S8', 'S8.8', 'S8.8.1']]",preferredLabel
012d6406-016a-4790-aeb8-853e61058517,maintain sorting equipment,"[['S', 'S8', 'S8.0', 'S8.0.0'], ['S', 'S8', 'S8.7', 'S8.7.2']]",preferredLabel
012f9ad1-b95b-42f1-b2c7-3793cdbce443,explain features in accommodation venue,"[['S', 'S3', 'S3.4', 'S3.4.1']]",preferredLabel
0132ac4f-ffac-4396-8b56-052fde0c9d73,types of barley,"[['K', 'K07', 'K072', 'K0721']]",preferredLabel
013441c1-1f13-47e9-80c4-9a53e8e1bc05,KDevelop,"[['K', 'K06', 'K061', 'K0612']]",preferredLabel
0138fdc7-edbb-485c-9aa9-544f723eb62f,carry out parts purchasing,"[['S', 'S1', 'S1.6', 'S1.6.3']]",preferredLabel
013a64b9-5e74-4f7f-af5b-9ec76715238b,inspect offshore constructions,"[['S', 'S1', 'S1.5', 'S1.5.1']]",preferredLabel
01468114-b99c-4f48-9374-a520a7faa9c9,transport patient to medical facility,"[['S', 'S3', 'S3.6', 'S3.6.1']]",preferredLabel
0156865e-5010-4908-8e0f-ce3aebc2d136,adjust envelope cutting settings,"[['S', 'S8', 'S8.5', 'S8.5.2'], ['S', 'S8', 'S8.5', 'S8.5.8']]",preferredLabel
0157feec-52c2-4764-b83d-2d017ce8e49d,prepare oils,"[['S', 'S6', 'S6.3', 'S6.3.1']]",preferredLabel
015b0162-6dd3-4d46-bbfd-325086155dd5,purchase supplies,"[['S', 'S1', 'S1.6', 'S1.6.3'], ['S', 'S4', 'S4.3', 'S4.3.3']]",preferredLabel
015cd017-b146-4c9d-ab10-5dfca451c30a,pursue excellence in the creation of food products,"[['S', 'S1', 'S1.11', 'S1.11.3'], ['T', 'T3', 'T3.1', None], ['A', 'A1', 'A1.12', 'A1.12.0']]",preferredLabel
0162b701-6bb4-400a-b557-7996053d7daf,maintain personal hygiene standards when cleaning,"[['T', 'T6', 'T6.1', None]]",preferredLabel
0167ee96-f478-4383-afe6-aabf387da5b3,liaise with typists,"[['S', 'S1', 'S1.2', 'S1.2.1']]",preferredLabel
016cee6c-9e95-466c-bd51-d63327751aa2,assess railway operations,"[['S', 'S2', 'S2.1', 'S2.1.1']]",preferredLabel
016e7bf4-fe86-4a1f-ace1-54e5b697293d,practise extreme sports,"[['S', 'S1', 'S1.14', 'S1.14.1']]",preferredLabel
0174a9e6-bf12-4ac3-bfc3-0a5469410f18,provide chaperone for children on set,"[['S', 'S3', 'S3.6', 'S3.6.3']]",preferredLabel
01755f08-4df4-4cf0-8d22-08f94cad68b5,organise labour,"[['S', 'S4', 'S4.2', 'S4.2.0']]",preferredLabel
017738e7-7d12-4e87-a580-8523405bab96,use glass engraving tools,"[['S', 'S8', 'S8.5', 'S8.5.8']]",preferredLabel
017d3b78-ebfa-431d-acc5-8050e9b0fdc8,operate wrecking ball,"[['S', 'S8', 'S8.1', 'S8.1.1']]",preferredLabel
