id,description,hierarchy_levels,type
018164df-2814-4926-bdf7-398d86b9dfe6,evaluate garment quality,"[['T', 'T3', 'T3.1', None], ['A', 'A1', 'A1.12', 'A1.12.0'], ['S', 'S2', 'S2.8', 'S2.8.1']]",preferredLabel
01819474-b960-4b8f-b020-2da26518d43a,apply for refunds,"[['S', 'S4', 'S4.4', 'S4.4.2']]",preferredLabel
0189f448-179e-47cc-9716-c5c3ac4b1aec,Absorb (learning management systems),"[['K', 'K06', 'K061', 'K0612'], ['K', 'K04', 'K041', 'K0413']]",preferredLabel
0194a8eb-c262-411a-ad3f-f3d587630562,peform small vessel administrative duties,"[['S', 'S4', 'S4.4', 'S4.4.0']]",preferredLabel
0196d283-9b1a-43a5-b219-43580c7cf560,cosmetics ingredients,"[['K', 'K10', 'K101', 'K1012']]",preferredLabel
01a6e6ae-32d5-440a-bdb3-c9ed8a1f57c0,human dynamics as part of hospitality security,"[['K', 'K10', 'K103', 'K1032']]",preferredLabel
01c03003-516d-43c6-8477-45c472413521,advise on construction materials,"[['T', 'T4', 'T4.2', None], ['S', 'S1', 'S1.5', 'S1.5.3'], ['S', 'S1', 'S1.5', 'S1.5.0']]",preferredLabel
01c4bbed-0449-44c9-9c05-48c30ffdcc22,maintain rotating equipment,"[['S', 'S8', 'S8.0', 'S8.0.0'], ['S', 'S8', 'S8.7', 'S8.7.2']]",preferredLabel
01cea4d4-41fa-42a2-9bf7-7ba0a8f439c1,manage volunteers in second-hand shop,"[['S', 'S4', 'S4.3', 'S4.3.2'], ['S', 'S4', 'S4.8', 'S4.8.1'], ['T', 'T4', 'T4.4', None], ['S', 'S4', 'S4.5', 'S4.5.0']]",preferredLabel
01d3d692-dcba-4544-82d2-fc27726bdbbc,pump products for storage,"[['S', 'S6', 'S6.2', 'S6.2.3']]",preferredLabel
01d80f57-3906-44e9-8592-fd1bd8a35808,medico-biological and medical sciences related to dentistry,"[['K', 'K09', 'K091', 'K0911']]",preferredLabel
01e5d2e2-d368-4fb9-9be9-9923146482c4,attend to detail in casting processes,"[['A', 'A1', 'A1.2', 'A1.2.0'], ['T', 'T3', 'T3.1', None]]",preferredLabel
01e66e1c-97d9-4829-bee1-f3ab649161e8,biomedical science,"[['K', 'K05', 'K051', 'K0512'], ['K', 'K07', 'K071', 'K0711']]",preferredLabel
01e7dee7-3ff1-4807-acad-058dbed91aba,keep up to date on product knowledge,"[['S', 'S2', 'S2.9', 'S2.9.0']]",preferredLabel
01f10952-cb59-4347-9aee-d4fbc51c870a,write Hungarian,"[['T', 'T1', 'T1.1', None], ['L', 'L1', None, None]]",preferredLabel
01f91b5b-3e2f-40a2-ab88-bc8113c0ab37,monitor drilling fluid,"[['S', 'S2', 'S2.8', 'S2.8.1']]",preferredLabel
01faf296-e037-494c-bb1c-65bda5aed750,develop efficiency plans for maritime shipping,"[['S', 'S4', 'S4.2', 'S4.2.2'], ['T', 'T3', 'T3.1', None], ['S', 'S2', 'S2.8', 'S2.8.2'], ['A', 'A1', 'A1.15', 'A1.15.0']]",preferredLabel
01fec851-b5f4-419b-940a-3b4c835adfa8,tend packaging machines,"[['S', 'S8', 'S8.5', 'S8.5.2']]",preferredLabel
01ffbbf3-0c62-45e0-92d9-01a86dc7c81d,advise on clay products handling,"[['T', 'T4', 'T4.2', None], ['S', 'S1', 'S1.5', 'S1.5.3'], ['S', 'S1', 'S1.5', 'S1.5.0']]",preferredLabel
0200e5e6-218d-4dae-b1ab-250382250ecb,maintain drilling equipment,"[['S', 'S8', 'S8.0', 'S8.0.0'], ['S', 'S8', 'S8.7', 'S8.7.2']]",preferredLabel
02053349-bc3a-4945-bcf7-33d2136c14d5,control tree diseases,"[['S', 'S6', 'S6.4', 'S6.4.1']]",preferredLabel
0207f83d-a1e4-4b47-b80c-84d41257791f,analyse the artistic concept based on stage actions,"[['S', 'S1', 'S1.12', 'S1.12.3'], ['S', 'S2', 'S2.7', 'S2.7.0']]",preferredLabel
020918ef-4b55-47c1-8430-ab7b8f6a7377,migrate existing data,"[['S', 'S5', 'S5.5', 'S5.5.2']]",preferredLabel
020b3c27-bae1-4b85-9d6f-eccee0f5ed99,manage supplies,"[['S', 'S4', 'S4.3', 'S4.3.3']]",preferredLabel
02137a68-6860-45e8-8e4d-38db467bb8b6,human factors regarding safety,"[['K', 'K10', 'K102', 'K1022']]",preferredLabel
021cf226-3dac-4712-9738-24bf0952c064,perform roof maintenance,"[['S', 'S7', 'S7.1', 'S7.1.5']]",preferredLabel
0227a4f4-f979-4e5a-bd11-93744f339246,types of digesters,"[['K', 'K05', 'K053', 'K0531']]",preferredLabel
022dc430-872a-473a-9cf4-fed4895e58ad,define database physical structure,"[['S', 'S5', 'S5.5', 'S5.5.2']]",preferredLabel
0232e2ee-5535-46e0-9c64-ea80c896c62f,lay stones,"[['S', 'S7', 'S7.1', 'S7.1.1']]",preferredLabel
0234bf2c-0483-4953-be59-edc2fcdd9e4b,assemble circus rigging equipment,"[['S', 'S7', 'S7.1', 'S7.1.8']]",preferredLabel
023e4b09-a193-4c2b-9009-f7dc9326a19b,perform oral health diagnosis,"[['S', 'S2', 'S2.1', 'S2.1.2']]",preferredLabel
023f4870-b417-4bd2-b0ae-78e61587c79f,geomatics,"[['K', 'K05', 'K053', 'K0532']]",preferredLabel
023faef3-0633-436d-8b91-389c45c1421c,contamination exposure regulations,"[['K', 'K10', 'K102', 'K1021']]",preferredLabel
024037ca-96a9-4cb8-ba86-2cd5a209c90a,Maltego,"[['K', 'K06', 'K061', 'K0613']]",preferredLabel
0240c5a8-d8ec-4cd5-948f-4649334c01b8,search historical sources in archives,"[['S', 'S2', 'S2.4', 'S2.4.1']]",preferredLabel
024910a2-1ee8-4f07-bac6-33b577d9392e,supervise performers' fights,"[['S', 'S4', 'S4.5', 'S4.5.0'], ['S', 'S4', 'S4.8', 'S4.8.1'], ['T', 'T4', 'T4.4', None]]",preferredLabel
0253b09a-7217-43fc-b62f-e6b23ffebac9,develop script bible,"[['S', 'S1', 'S1.13', 'S1.13.2']]",preferredLabel
0256f6b0-f4a9-4c5e-9cfd-96d58a2a70fe,operate radio equipment,"[['S', 'S1', 'S1.2', 'S1.2.1'], ['S', 'S8', 'S8.6', 'S8.6.4']]",preferredLabel
02619401-8e21-46e5-8f19-204747fd755d,remove contaminated materials,"[['S', 'S6', 'S6.13', 'S6.13.1'], ['S', 'S2', 'S2.7', 'S2.7.1']]",preferredLabel
026db24f-6972-460b-a784-d34afaf8d498,inspect paint quality,"[['T', 'T3', 'T3.1', None], ['A', 'A1', 'A1.12', 'A1.12.0'], ['S', 'S2', 'S2.8', 'S2.8.1']]",preferredLabel
027f47ba-2435-47dc-9fd3-5f05c6a52e93,styles of boxes,"[['K', 'K07', 'K072', 'K0722']]",preferredLabel
02820870-3b92-480b-8475-8a521563ea3c,collect property financial information,"[['S', 'S2', 'S2.4', 'S2.4.1'], ['S', 'S2', 'S2.7', 'S2.7.3']]",preferredLabel
0295b2a4-fb86-495f-9547-d479532fc4c2,trace financial transactions,"[['S', 'S2', 'S2.8', 'S2.8.2']]",preferredLabel
029e2bb0-6dd8-4600-bb89-ac7480ae8fb0,contribute to quality physiotherapy services,"[['S', 'S4', 'S4.3', 'S4.3.1'], ['T', 'T3', 'T3.1', None], ['A', 'A1', 'A1.12', 'A1.12.0']]",preferredLabel
02a78cf3-8b31-4911-bcad-c989a1b7ff40,install radiators,"[['S', 'S7', 'S7.2', 'S7.2.1']]",preferredLabel
02ae2a55-4b7c-41d2-86ec-9a2a38b73fe6,advise customers on usage of care products for pets,"[['T', 'T4', 'T4.2', None], ['S', 'S1', 'S1.5', 'S1.5.3'], ['S', 'S1', 'S1.5', 'S1.5.0']]",preferredLabel
02b6350e-433a-42b1-b620-92fc53b9a14d,operate remote sensing equipment,"[['S', 'S8', 'S8.6', 'S8.6.3']]",preferredLabel
02bbd0fb-b108-49a8-9c48-5b0c447d3fdf,calculate stairs rise and run,"[['T', 'T1', 'T1.2', None], ['S', 'S2', 'S2.6', 'S2.6.1']]",preferredLabel
02bf9522-bd6e-4482-be03-1827483be21a,first aid for animals,"[['K', 'K08', 'K084', 'K0841']]",preferredLabel
02c1a369-f1e7-4f8e-8882-d7ded57f9cf4,empathise with outdoor groups,"[['S', 'S3', 'S3.4', 'S3.4.2'], ['S', 'S4', 'S4.8', 'S4.8.3']]",preferredLabel
02c462b7-b93b-44a7-ba3a-9d3b7a163f51,provide context to news stories,"[['S', 'S1', 'S1.7', 'S1.7.3'], ['S', 'S2', 'S2.1', 'S2.1.1'], ['S', 'S1', 'S1.4', 'S1.4.1']]",preferredLabel
02c71cde-f513-43da-8952-0974763c7568,circuit diagrams,"[['K', 'K06', 'K061', 'K0612']]",preferredLabel
02c7caf4-4e8b-4745-8917-dbbd3af17c28,draw up artistic production,"[['S', 'S2', 'S2.2', 'S2.2.6']]",preferredLabel
02d5c52b-e7f9-4d8c-adc2-d0332f49535b,install passenger service units,"[['S', 'S6', 'S6.7', 'S6.7.0']]",preferredLabel
02d68c2b-1722-4440-8e25-376650e123c8,understand written Korean,"[['T', 'T1', 'T1.1', None], ['L', 'L1', None, None]]",preferredLabel
02e0b3e9-c9e0-4063-983b-b5a7697e0f78,keep records of bridge investigation findings,"[['S', 'S2', 'S2.2', 'S2.2.2']]",preferredLabel
02e1ca57-0715-438b-886d-f0f938ac3efc,sand blasting machine parts,"[['K', 'K06', 'K061', 'K0612']]",preferredLabel
02e22093-3436-46a8-8dc5-b041bc4800cc,create model,"[['S', 'S6', 'S6.6', 'S6.6.3']]",preferredLabel
02e235f4-a30a-412a-a06e-1c471ad28678,follow control of substances hazardous to health procedures,"[['S', 'S6', 'S6.13', 'S6.13.1'], ['S', 'S3', 'S3.3', 'S3.3.1']]",preferredLabel
02eeea19-76db-4d19-bb8b-a649c0fbe796,assess visual impact of displays,"[['S', 'S2', 'S2.7', 'S2.7.0']]",preferredLabel
02f115d8-9e14-499c-97c1-f9eac282edc5,select glassware for serving,"[['S', 'S3', 'S3.5', 'S3.5.2']]",preferredLabel
03006fd3-254f-44bc-aa8f-dfe1c727463e,cardiovascular system,"[['K', 'K09', 'K091', 'K0912']]",preferredLabel
0302f93a-0d38-4c00-bc37-eda17b6316ea,biosecurity related to animals,"[['K', 'K09', 'K091', 'K0912'], ['K', 'K08', 'K084', 'K0841']]",preferredLabel
030de41b-bb8b-4e4b-859c-9afd4c17605b,check information on prescriptions,"[['S', 'S2', 'S2.7', 'S2.7.2'], ['T', 'T2', 'T2.1', None], ['S', 'S2', 'S2.7', 'S2.7.0']]",preferredLabel
03134e63-81eb-439a-b6eb-7de49ae01bbd,assume responsibility for maintaining a safe ship environment,"[['S', 'S3', 'S3.3', 'S3.3.1']]",preferredLabel
031bfd8d-af80-4606-b4bb-6de4d5da6249,follow hygienic practices in fishery operations,"[['T', 'T6', 'T6.1', None], ['S', 'S3', 'S3.3', 'S3.3.1'], ['S', 'S6', 'S6.9', 'S6.9.1']]",preferredLabel
03227978-f839-4cc8-88a6-0a3c44d2c776,supervise work on design planning,"[['S', 'S4', 'S4.2', 'S4.2.1']]",preferredLabel
032867c3-3c53-42ad-aabe-030eeb6292ab,measure trees,"[['S', 'S2', 'S2.5', 'S2.5.1'], ['S', 'S2', 'S2.5', 'S2.5.0']]",preferredLabel
0329ab41-3212-4e4f-8112-9e9ff5217f7b,bend staves,"[['S', 'S8', 'S8.5', 'S8.5.7'], ['S', 'S8', 'S8.5', 'S8.5.0']]",preferredLabel
032a4ab8-1034-4541-8037-b2cdcc7fd19a,select music for performance,"[['S', 'S4', 'S4.2', 'S4.2.2'], ['T', 'T3', 'T3.2', None], ['S', 'S1', 'S1.14', 'S1.14.2'], ['S', 'S4', 'S4.9', 'S4.9.0']]",preferredLabel
032b0bed-22b1-456b-8009-91e6b838fe45,geological mapping,"[['K', 'K05', 'K053', 'K0532']]",preferredLabel
03305638-bd08-410a-a960-f963ad89cce6,tend electron beam welding machine,"[['S', 'S7', 'S7.1', 'S7.1.6'], ['S', 'S8', 'S8.5', 'S8.5.7']]",preferredLabel
03353964-657a-4737-9afc-1ca9ec04195b,inspect table settings,"[['S', 'S3', 'S3.5', 'S3.5.2']]",preferredLabel
0337c577-f837-4518-9263-b753c24f3a21,drive automatic car,"[['S', 'S8', 'S8.2', 'S8.2.2']]",preferredLabel
033d6175-fa43-4d75-8e2c-6df348ffa0c8,prepare intravenous packs,"[['S', 'S3', 'S3.2', 'S3.2.5']]",preferredLabel
03459358-3f0f-4b13-a143-890e2da798d3,configure electronic equipment,"[['S', 'S8', 'S8.8', 'S8.8.1']]",preferredLabel
034c29fa-c3ba-45ea-b8f3-bf8e3705e386,Erlang,"[['K', 'K06', 'K061', 'K0613'], ['S', 'S5', 'S5.6', 'S5.6.1']]",preferredLabel
03500955-88a6-4c3d-a8c0-7594409dcff0,operate specialised equipment in emergency,"[['S', 'S8', 'S8.6', 'S8.6.1']]",preferredLabel
03520ff5-9e68-434b-91fa-3ced9c085159,plan retail space,"[['S', 'S1', 'S1.11', 'S1.11.4'], ['S', 'S4', 'S4.3', 'S4.3.3']]",preferredLabel
03589d0d-a6f0-4d68-b5eb-dafbc6833efe,write leaflets,"[['S', 'S1', 'S1.13', 'S1.13.0'], ['S', 'S1', 'S1.13', 'S1.13.2']]",preferredLabel
03598f35-15f1-41fa-bd8a-313e74523307,use jewellery equipment,"[['S', 'S6', 'S6.5', 'S6.5.1'], ['S', 'S6', 'S6.7', 'S6.7.4']]",preferredLabel
0359f76c-3ef3-4e52-abcf-1b2b32ed20a5,taste wines,"[['S', 'S2', 'S2.8', 'S2.8.1'], ['S', 'S2', 'S2.7', 'S2.7.0']]",preferredLabel
035afc40-e8fc-448f-b287-1a973fb5aa93,manufacturing of taps and valves,"[['K', 'K10', 'K102', 'K1021']]",preferredLabel
0361c099-da6c-404e-984b-a8b8a0c017d1,check sensorial parameters of oils and fats,"[['S', 'S2', 'S2.8', 'S2.8.2'], ['S', 'S2', 'S2.8', 'S2.8.0']]",preferredLabel
0377c027-2839-4b30-9acb-bb68daf925f5,maintain coquille parts,"[['S', 'S7', 'S7.1', 'S7.1.6']]",preferredLabel
037b5e5f-db3c-40cd-864e-5b9b9a3a080d,understand spoken Hungarian,"[['T', 'T1', 'T1.1', None], ['L', 'L1', None, None]]",preferredLabel
037c8da7-6a0d-42b8-b979-c4abe7c92d48,schedule maintenance of airport electrical systems,"[['S', 'S4', 'S4.2', 'S4.2.2'], ['S', 'S4', 'S4.8', 'S4.8.1'], ['S', 'S8', 'S8.7', 'S8.7.2']]",preferredLabel
038256f5-7b18-4e6f-8314-2401be1b601b,provide pre-hospital emergency care of trauma,"[['S', 'S3', 'S3.2', 'S3.2.1']]",preferredLabel
038a6d0f-787f-4f71-aac6-bd54e16c57cf,history of tobacco,"[['K', 'K02', 'K022', 'K0222']]",preferredLabel
03a0ab28-ce99-4e14-baf8-a66c55da28f8,carry out event management,"[['S', 'S4', 'S4.2', 'S4.2.2']]",preferredLabel
03a53283-d3ee-41c1-ab3e-eb806616440e,understand spoken Welsh,"[['T', 'T1', 'T1.1', None], ['L', 'L1', None, None]]",preferredLabel
03a74eee-2dc6-4147-8667-5cdeb65f122d,manage ICT data classification,"[['S', 'S1', 'S1.11', 'S1.11.1'], ['S', 'S5', 'S5.5', 'S5.5.2']]",preferredLabel
03aa85d2-9a67-455f-b901-595e685afdd2,keep sheet records,"[['S', 'S5', 'S5.5', 'S5.5.2'], ['S', 'S2', 'S2.2', 'S2.2.5']]",preferredLabel
03af6b34-0137-4337-8a7f-521dbef4925f,brush rubber cement,"[['S', 'S6', 'S6.7', 'S6.7.3']]",preferredLabel
03b9453e-d14d-46bc-baf5-f6a6fbaa3bb7,develop leather goods collection,"[['S', 'S1', 'S1.11', 'S1.11.5']]",preferredLabel
03b9b491-fc9b-4868-914a-bf7cd47b5041,create solutions to problems,"[['S', 'S1', 'S1.9', 'S1.9.1'], ['T', 'T2', 'T2.3', None]]",preferredLabel
03bc5f23-4317-41c2-9528-2db5c3c87b85,analyse cultural trends,"[['A', 'A2', 'A2.1', 'A2.1.0'], ['T', 'T4', 'T4.3', None], ['S', 'S2', 'S2.9', 'S2.9.0']]",preferredLabel
03bc85d5-78f0-4409-86ed-87dc35345760,assess cage water quality,"[['S', 'S2', 'S2.7', 'S2.7.2'], ['S', 'S2', 'S2.5', 'S2.5.1'], ['S', 'S2', 'S2.8', 'S2.8.8']]",preferredLabel
03ca6934-62ac-42e8-aca0-9e7c10bb1684,understand the architecture of a live performance,"[['S', 'S1', 'S1.12', 'S1.12.3']]",preferredLabel
03cf7836-708c-4d43-94ed-3d8beb170655,apply electrolytes to cathodes and anodes,"[['S', 'S6', 'S6.3', 'S6.3.3']]",preferredLabel
03d8e93a-861a-45d3-a2d6-80781d6af1c9,hair cutting techniques,"[['K', 'K10', 'K101', 'K1012']]",preferredLabel
03d93b02-a461-4815-a4c0-b46451afc1c2,manage claim files,"[['S', 'S2', 'S2.3', 'S2.3.0']]",preferredLabel
03d93bf5-3c09-489c-a0d7-a895b068041a,rescue animals,"[['S', 'S3', 'S3.3', 'S3.3.5']]",preferredLabel
03d988af-2e63-4151-bb5e-950f366e2c64,guide ships into docks,"[['S', 'S8', 'S8.3', 'S8.3.0'], ['S', 'S4', 'S4.2', 'S4.2.1'], ['T', 'T4', 'T4.2', None], ['S', 'S1', 'S1.5', 'S1.5.0']]",preferredLabel
03f922b0-d518-457d-8f2c-80252a714be1,criminology,"[['K', 'K03', 'K031', 'K0314']]",preferredLabel
03ff0d53-573a-47a0-a0ad-1995815a4339,information structure,"[['K', 'K06', 'K061', 'K0612']]",preferredLabel
